Item Group List														

Scroll_01	Potion_01	SoulCube_01	ArrowBolt_01	Ring_01	Amulet_01	Weapon_K_01	Weapon_A_01	Weapon_M_01	Weapon_W_01	Armour_K_01	Armour_A_01	Armour_M_01	Armour_W_01	Shield_01
198	190	199	194	214	196	11	1	205	12	65	47	101	83	269
213	232	240	238	197	215	10	19	208	15	64	46	100	82	29
	233	241		224	216	18	26	210	25	66	48	102	84	42
	193	242		225	217	31	43	212	44	67	49	103	85	23
	234	243		226	218	35	6	206	3	68	50	104	86	
	235			227	219	4	16	207	21	69	51	105	87	
	192			228	220	20	34	209	30	71	59	107	89	
	236			229	221	28	40	211	39	70	58	106	88	
	237			230	222	41			9	72	60	108	90	
	191			231	223	2			14	73	61	109	91	
						13			24	74	62	110	92	
						27			38	75	63	111	93	
						37				77	53	113	95	
										76	52	112	94
										78	54	114	96
										79	55	115	97
										80	56	116	98
										81	57	117	99
										173	119	137	155
										172	118	136	154
										174	120	138	156
										175	121	139	157
										176	122	140	158
										179	123	141	159
										178	125	143	161
										177	124	142	160
										180	126	144	162
										181	127	145	163
										182	128	146	164
										183	129	147	165
										185	131	149	167
										184	130	148	166
										186	132	150	168
										187	133	151	169
										188	134	152	170
										189	135	153	171
